# index, _pos
0,"array([-2253.61174518,   674.01288297])"
1,"array([ 131.49030901, -136.25646384])"
2,"array([ 127.032113 , -132.3760503])"
3,"array([  448.36615419, -2647.90970787])"
4,"array([ 147.12143882, -132.26249356])"
5,"array([ 135.72074853, -123.29040875])"
6,"array([ 196.68906206, -114.12688336])"
7,"array([ 187.43215075, -119.35371313])"
8,"array([ 143.48593172, -132.36880219])"
9,"array([ 144.11865567, -132.22523788])"
10,"array([-730.02404669, 2173.03271255])"
11,"array([ 156.9404584 , -104.40819465])"
12,"array([ 143.03351854, -127.91255541])"
13,"array([ 145.51248996, -131.84556321])"
14,"array([ 145.66256774, -132.15451372])"
15,"array([ 148.10442886, -133.00615597])"
16,"array([ 140.45573028, -127.05351669])"
17,"array([ 139.05176266, -132.73552393])"
18,"array([ 139.53699858, -132.32878949])"
19,"array([ 137.4690661, -122.8576074])"
20,"array([ 131.89760758, -123.63598232])"
21,"array([ 151.53939049, -126.18495222])"
22,"array([ 140.63796086, -134.13842159])"
23,"array([ 143.58197258, -128.94174692])"
24,"array([ 155.46254438, -115.9574286 ])"
25,"array([ 155.68182565, -124.93634487])"
26,"array([ 147.37169329, -131.65727333])"
27,"array([ 133.90235238, -126.89695262])"
28,"array([ 139.2919329 , -135.43631995])"
29,"array([ 143.43009928, -124.44703835])"
30,"array([ 145.06085672, -128.36630895])"
31,"array([ 144.78323175, -125.69167589])"
32,"array([ 140.71527886, -132.24193203])"
33,"array([ 152.53623177, -125.9906959 ])"
34,"array([ 133.32416452, -130.60457895])"
35,"array([ 144.00001184, -145.52299946])"
36,"array([ 146.64753418, -131.92257422])"
37,"array([ 144.9642679 , -137.68439444])"
38,"array([ 144.47880331, -140.78405508])"
39,"array([ 141.79395573, -135.86492523])"
40,"array([ 148.64910359, -148.56680359])"
41,"array([ 149.47589666, -140.3080762 ])"
42,"array([170.34669025, -92.41071375])"
43,"array([ 144.88196377, -129.31016635])"
44,"array([ 146.6912464 , -131.55308971])"
45,"array([ 150.59025683, -124.7205413 ])"
46,"array([ 143.33172219, -130.26246703])"
47,"array([ 148.2409343 , -127.88689594])"
48,"array([ 158.10302696, -128.29823256])"
49,"array([ 158.12633099, -125.42332677])"
50,"array([ 155.89570905, -132.69493565])"
51,"array([ 154.94377322, -143.5952039 ])"
52,"array([ 154.80629475, -113.4135826 ])"
53,"array([ 152.26449883, -120.20561441])"
54,"array([ 167.95505814, -148.44844472])"
